generic,adi,938041841,0.0
generic,correlation,640422157,0.0
generic,covariance,1001255539,0.0
generic,fdtd-2d,3237428741,0.0
generic,heat-3d,1731501238,0.0
generic,jacobi-1d,5883313,0.0
generic,jacobi-2d,2680398985,0.0
generic,seidel-2d,2396687231,0.0
generic-fusion,adi,938043035,0.0
generic-fusion,correlation,640423020,0.0
generic-fusion,covariance,1001255757,0.0
generic-fusion,fdtd-2d,2663737177,0.0
generic-fusion,heat-3d,909994060,0.0
generic-fusion,jacobi-1d,5885251,0.0
generic-fusion,jacobi-2d,1837993098,0.0
generic-fusion,seidel-2d,2396689861,0.0
macroop-fusion-inorder,adi,440041409,0.0
macroop-fusion-inorder,correlation,640420581,0.0
macroop-fusion-inorder,covariance,1001255260,0.0
macroop-fusion-inorder,fdtd-2d,2652960869,0.0
macroop-fusion-inorder,heat-3d,2553023062,0.0
macroop-fusion-inorder,jacobi-1d,4887251,0.0
macroop-fusion-inorder,jacobi-2d,1837997149,0.0
macroop-fusion-inorder,seidel-2d,2396593292,0.0
macroop-fusion-inorder-v2,adi,440042993,0.0
macroop-fusion-inorder-v2,correlation,640419880,0.0
macroop-fusion-inorder-v2,covariance,1001252371,0.0
macroop-fusion-inorder-v2,fdtd-2d,2662501669,0.0
macroop-fusion-inorder-v2,heat-3d,2553019516,0.0
macroop-fusion-inorder-v2,jacobi-1d,4885837,0.0
macroop-fusion-inorder-v2,jacobi-2d,1837995349,0.0
macroop-fusion-inorder-v2,seidel-2d,2396594073,0.0
macroop-fusion-o3,adi,440040718,0.0
macroop-fusion-o3,correlation,640419846,0.0
macroop-fusion-o3,covariance,1001254212,0.0
macroop-fusion-o3,fdtd-2d,2665222339,0.0
macroop-fusion-o3,heat-3d,2553019817,0.0
macroop-fusion-o3,jacobi-1d,4885158,0.0
macroop-fusion-o3,jacobi-2d,1837992591,0.0
macroop-fusion-o3,seidel-2d,2396602995,0.0
nofusion-o3,adi,440043581,0.0
nofusion-o3,correlation,640421049,0.0
nofusion-o3,covariance,1001257838,0.0
nofusion-o3,fdtd-2d,3225485044,0.0
nofusion-o3,heat-3d,909991589,0.0
nofusion-o3,jacobi-1d,4884142,0.0
nofusion-o3,jacobi-2d,1837995093,0.0
nofusion-o3,seidel-2d,2396604577,0.0
